"","Open","High","Low","Close","Volume","Adjusted"
"2015-04-22",72.379997,72.639999,71.980003,72.290001,648500,72.290001
"2015-04-23",72.010002,72.790001,72.010002,72.480003,673900,72.480003
"2015-04-24",72.510002,72.870003,72.150002,72.68,672000,72.68
"2015-04-27",72.889999,73.419998,72.290001,72.940002,1251400,72.940002
"2015-04-28",72.779999,72.879997,72.279999,72.639999,722600,72.639999
"2015-04-29",75.010002,78.089996,75.010002,76.849998,2413800,76.849998
"2015-04-30",75.709999,76.709999,74.93,75.040001,1133900,75.040001
"2015-05-01",75.489998,75.970001,75.080002,75.709999,736000,75.709999
"2015-05-04",75.860001,76.800003,75.730003,76.389999,920700,76.389999
"2015-05-05",75.43,75.720001,74.120003,74.510002,1120600,74.510002
"2015-05-06",74.449997,75.410004,72.330002,72.489998,2270700,72.489998
"2015-05-07",70.32,73.190002,70.199997,72.099998,8491400,72.099998
"2015-05-08",72.959999,74.809998,72.639999,73.660004,2362500,73.660004
"2015-05-11",73.879997,74.449997,73.760002,73.769997,1582800,73.769997
"2015-05-12",73.489998,73.959999,72.989998,73.75,1253900,73.75
"2015-05-13",73.709999,74.220001,73.209999,73.220001,1676300,73.220001
"2015-05-14",73.489998,73.940002,73.300003,73.449997,2154200,73.449997
"2015-05-15",73.879997,74.099998,73.480003,73.739998,1069600,73.739998
"2015-05-18",73.690002,73.980003,73.349998,73.360001,961500,73.360001
"2015-05-19",73.269997,73.510002,73.010002,73.400002,1142300,73.400002
"2015-05-20",73.529999,73.610001,73.110001,73.129997,1221300,73.129997
"2015-05-21",73.139999,73.610001,73.010002,73.410004,1252300,73.410004
"2015-05-22",73.389999,73.650002,73.190002,73.440002,852300,73.440002
"2015-05-26",73,73.25,72.129997,72.449997,993400,72.449997
"2015-05-27",72.669998,73.68,72.5,73.400002,1146400,73.400002
"2015-05-28",73.360001,73.639999,72.959999,73.160004,1151700,73.160004
"2015-05-29",72.989998,73.25,72.43,72.580002,3191400,72.580002
"2015-06-01",72.550003,73.900002,72.529999,73.57,907100,73.57
"2015-06-02",73.57,73.639999,72.68,72.849998,1058000,72.849998
"2015-06-03",73.260002,74.260002,72.900002,74.18,1075300,74.18
"2015-06-04",73.620003,74.400002,73.599998,73.739998,879200,73.739998
"2015-06-05",72.349998,74.199997,72.32,74.040001,1060800,74.040001
"2015-06-08",73.650002,73.989998,73.169998,73.199997,715400,73.199997
"2015-06-09",73.410004,73.900002,72.870003,73.699997,955500,73.699997
"2015-06-10",74.279999,74.480003,73.760002,74.040001,668200,74.040001
"2015-06-11",73.949997,74.550003,73.809998,74.529999,776300,74.529999
"2015-06-12",74.190002,74.559998,73.959999,74.25,592100,74.25
"2015-06-15",73.839996,74.68,73.550003,73.900002,927100,73.900002
"2015-06-16",73.940002,74.489998,73.720001,74.129997,668600,74.129997
"2015-06-17",74.440002,75.050003,74.220001,74.800003,620800,74.800003
"2015-06-18",74.870003,75.5,74.709999,75.330002,671800,75.330002
"2015-06-19",75.269997,75.559998,74.889999,75.25,1698700,75.25
"2015-06-22",75.629997,75.699997,75.080002,75.290001,1167100,75.290001
"2015-06-23",75.510002,75.699997,74.949997,74.959999,775900,74.959999
"2015-06-24",74.839996,75.110001,74.080002,74.089996,1255100,74.089996
"2015-06-25",74.839996,74.839996,74.220001,74.660004,976700,74.660004
"2015-06-26",74.889999,75.080002,74.330002,74.510002,990900,74.510002
"2015-06-29",74.010002,74.110001,72.620003,72.68,575200,72.68
"2015-06-30",73.339996,73.339996,72.580002,72.760002,697800,72.760002
"2015-07-01",73.120003,73.269997,72.559998,72.949997,989900,72.949997
"2015-07-02",72.93,73.18,72.650002,73.059998,816600,73.059998
"2015-07-06",72.559998,73.849998,72.25,73.760002,1088100,73.760002
"2015-07-07",74.040001,74.040001,72.830002,73.419998,934100,73.419998
"2015-07-08",72.75,73.010002,71.879997,71.989998,726500,71.989998
"2015-07-09",72.660004,72.989998,72.300003,72.400002,684700,72.400002
"2015-07-10",73.400002,73.440002,72.919998,73.239998,740000,73.239998
"2015-07-13",73.809998,74.260002,73.519997,74.209999,537900,74.209999
"2015-07-14",74.330002,74.879997,74.169998,74.610001,743000,74.610001
"2015-07-15",74.309998,75.190002,74.150002,75.019997,794400,75.019997
"2015-07-16",75.550003,75.830002,75.040001,75.620003,532900,75.620003
"2015-07-17",75.839996,75.839996,75.029999,75.389999,533600,75.389999
"2015-07-20",75.419998,75.940002,75.110001,75.540001,475700,75.540001
"2015-07-21",74.790001,75.360001,73.589996,73.800003,1399200,73.800003
"2015-07-22",73.760002,74.580002,73.760002,74.410004,700300,74.410004
"2015-07-23",74.43,74.690002,73.949997,74.139999,651300,74.139999
"2015-07-24",74.480003,74.599998,74.010002,74.449997,854200,74.449997
"2015-07-27",74.75,74.870003,72.739998,72.93,897700,72.93
"2015-07-28",73.040001,73.639999,72.660004,73.239998,693100,73.239998
"2015-07-29",75.199997,79.879997,75.07,78.599998,2649900,78.599998
"2015-07-30",78.699997,78.919998,77.839996,78.57,922000,78.57
"2015-07-31",78.989998,78.989998,78.010002,78.110001,877100,78.110001
"2015-08-03",77.559998,78.309998,77.220001,77.800003,1089300,77.800003
"2015-08-04",77.879997,78.480003,77.099998,77.610001,1046300,77.610001
"2015-08-05",78.059998,78.169998,77.400002,77.989998,695100,77.989998
"2015-08-06",77.889999,77.889999,76.150002,76.599998,968300,76.599998
"2015-08-07",76.629997,77.68,76.18,77.660004,801400,77.660004
"2015-08-10",77.980003,78.129997,77.459999,77.839996,658200,77.839996
"2015-08-11",77.169998,77.459999,76.470001,77,621700,77
"2015-08-12",76.660004,77.190002,75.889999,76.75,532300,76.75
"2015-08-13",76.610001,77.309998,76.019997,76.879997,431000,76.879997
"2015-08-14",76.400002,76.980003,76.400002,76.800003,431300,76.800003
"2015-08-17",76.559998,76.879997,76.059998,76.720001,494700,76.720001
"2015-08-18",76.800003,77.339996,76.550003,77.230003,590200,77.230003
"2015-08-19",76.919998,78.169998,76.589996,77.650002,835200,77.650002
"2015-08-20",76.489998,77.739998,75.349998,75.360001,688400,75.360001
"2015-08-21",74.5,75.410004,73.900002,73.919998,1039500,73.919998
"2015-08-24",71.68,72.879997,68.870003,71.580002,1781800,71.580002
"2015-08-25",73.650002,73.879997,70.739998,70.769997,1244400,70.769997
"2015-08-26",72.540001,72.75,70.519997,72.650002,781300,72.650002
"2015-08-27",73.300003,74.690002,73.019997,74.25,949200,74.25
"2015-08-28",73.669998,74.400002,73.410004,73.940002,746900,73.940002
"2015-08-31",73.650002,73.889999,72.889999,73.080002,585700,73.080002
"2015-09-01",71.589996,72.379997,71.019997,71.580002,1138800,71.580002
"2015-09-02",72.690002,73.75,71.730003,73.660004,1140900,73.660004
"2015-09-03",73.93,74.150002,73.389999,73.82,690600,73.82
"2015-09-04",73.089996,73.400002,72.510002,72.809998,484900,72.809998
"2015-09-08",73.970001,74.809998,73.360001,74.779999,539600,74.779999
"2015-09-09",75.190002,75.480003,73.300003,73.470001,672600,73.470001
"2015-09-10",73.379997,74.389999,73.07,73.760002,469800,73.760002
"2015-09-11",73.309998,74.110001,73.010002,73.870003,470100,73.870003
"2015-09-14",74,74.120003,73.050003,73.169998,474400,73.169998
"2015-09-15",73.330002,74.029999,72.830002,73.82,801900,73.82
"2015-09-16",73.699997,74.160004,73.330002,73.779999,464400,73.779999
"2015-09-17",73.879997,74.300003,73.32,73.57,557800,73.57
"2015-09-18",72.730003,73.489998,72.690002,73,1047500,73
"2015-09-21",73.300003,74.489998,73.269997,74.309998,486200,74.309998
"2015-09-22",73.510002,74.25,73.360001,73.790001,998400,73.790001
"2015-09-23",73.660004,74.440002,73.529999,74.260002,643000,74.260002
"2015-09-24",73.709999,74.059998,73,73.529999,591400,73.529999
"2015-09-25",74.029999,74.919998,73.57,73.779999,606800,73.779999
"2015-09-28",73.360001,73.800003,71.699997,71.720001,574900,71.720001
"2015-09-29",71.940002,72.480003,71.510002,72.25,1045900,72.25
"2015-09-30",73.220001,73.93,72.459999,73.910004,943400,73.910004
"2015-10-01",78.010002,78.769997,76.879997,78.160004,5101600,78.160004
"2015-10-02",77.239998,79.919998,76.629997,79.879997,2883400,79.879997
"2015-10-05",80.099998,82,80.010002,81.279999,3072900,81.279999
"2015-10-06",80.959999,81.230003,80.379997,80.82,2732000,80.82
"2015-10-07",81,81.489998,80.040001,80.940002,26526000,80.940002
"2015-10-08",80.809998,81.5,79.779999,81.410004,2390100,81.410004
"2015-10-09",81.300003,81.360001,80.529999,81.129997,1499900,81.129997
"2015-10-12",81.059998,81.690002,80.790001,81.459999,1036400,81.459999
"2015-10-13",81.279999,81.629997,80.470001,80.589996,1050900,80.589996
"2015-10-14",80.5,80.699997,78.879997,79.029999,2186300,79.029999
"2015-10-15",79.309998,79.510002,78.709999,79.470001,1851500,79.470001
"2015-10-16",79.629997,79.629997,78.709999,79.529999,1249800,79.529999
"2015-10-19",79.220001,80,78.830002,79.610001,982500,79.610001
"2015-10-20",79.419998,79.849998,78.900002,79.830002,874800,79.830002
"2015-10-21",80.290001,80.290001,79.010002,79.199997,1080300,79.199997
"2015-10-22",79.360001,80.040001,79.169998,79.949997,1525300,79.949997
"2015-10-23",78.510002,81.18,78.510002,81.150002,1735900,81.150002
"2015-10-26",81.330002,81.800003,80.889999,81.5,1085200,81.5
"2015-10-27",80.730003,80.889999,79.93,80.330002,1276700,80.330002
"2015-10-28",77,78,71.660004,72.660004,7415300,72.660004
"2015-10-29",72.519997,72.790001,69.760002,70.260002,3995500,70.260002
"2015-10-30",69.93,71.779999,69.690002,71.610001,2418800,71.610001
"2015-11-02",71.510002,71.760002,69.790001,70.309998,2573800,70.309998
"2015-11-03",70.230003,70.480003,69.260002,69.879997,1491800,69.879997
"2015-11-04",69.870003,70.029999,68.589996,69.43,1660200,69.43
"2015-11-05",69.480003,69.540001,68.580002,69.029999,1556700,69.029999
"2015-11-06",68.150002,70.129997,68.150002,70.120003,1325600,70.120003
"2015-11-09",69.730003,70.449997,69.309998,70.120003,1468900,70.120003
"2015-11-10",70.879997,71.519997,70.470001,71.029999,2038800,71.029999
"2015-11-11",71.129997,71.410004,70.739998,70.860001,887500,70.860001
"2015-11-12",70.650002,72.220001,70.239998,71.93,1577100,71.93
"2015-11-13",71.830002,72.5,71.269997,71.660004,1908500,71.660004
"2015-11-16",71.949997,72.760002,71.410004,72.720001,1563600,72.720001
"2015-11-17",73.059998,73.059998,71.360001,71.580002,1615500,71.580002
"2015-11-18",71.800003,73.440002,71.769997,73.330002,970300,73.330002
"2015-11-19",73.220001,73.559998,73.029999,73.269997,894400,73.269997
"2015-11-20",73.879997,73.980003,73.290001,73.779999,657400,73.779999
"2015-11-23",73.989998,74.370003,73.260002,73.639999,780600,73.639999
"2015-11-24",73.440002,73.75,72.709999,73.660004,1067500,73.660004
"2015-11-25",73.839996,74.720001,73.330002,74.459999,718100,74.459999
"2015-11-27",74.440002,75,74.260002,74.879997,361300,74.879997
"2015-11-30",75.110001,75.529999,74.550003,74.949997,2021900,74.949997
"2015-12-01",75.32,76.419998,75.07,76.099998,1564200,76.099998
"2015-12-02",76.449997,76.449997,74.860001,74.970001,1025000,74.970001
"2015-12-03",75.010002,75.459999,73.839996,74.150002,832500,74.150002
"2015-12-04",75.160004,75.629997,74.190002,75.32,650700,75.32
"2015-12-07",75.029999,75.849998,74.599998,75.790001,1166900,75.790001
"2015-12-08",74.949997,76.629997,74.470001,76.599998,1222300,76.599998
"2015-12-09",75.980003,77.129997,75.849998,76.470001,2185900,76.470001
"2015-12-10",76.480003,77.279999,75.690002,76.269997,1079900,76.269997
"2015-12-11",75.18,75.82,74.809998,75.050003,842500,75.050003
"2015-12-14",75.260002,76.239998,74.830002,76.129997,945000,76.129997
"2015-12-15",76.709999,77.809998,76.309998,77.190002,1308700,77.190002
"2015-12-16",77.629997,79.040001,77.129997,78.82,1203100,78.82
"2015-12-17",78.699997,79.019997,76.900002,76.910004,1021100,76.910004
"2015-12-18",76.419998,76.839996,74.099998,75.099998,3132200,75.099998
"2015-12-21",75.82,76.400002,74.440002,75.970001,853300,75.970001
"2015-12-22",76.5,77.739998,75.760002,76.279999,900000,76.279999
"2015-12-23",76.809998,77.269997,76.510002,77,975800,77
"2015-12-24",76.970001,77.25,76.639999,76.959999,1172500,76.959999
"2015-12-28",76.790001,77.190002,76.400002,77.169998,676700,77.169998
"2015-12-29",77.720001,77.970001,77.379997,77.769997,772700,77.769997
"2015-12-30",77.870003,78.260002,77.349998,77.510002,456600,77.510002
"2015-12-31",77.18,77.730003,76.769997,76.879997,585600,76.879997
"2016-01-04",75.360001,75.360001,74.410004,75.300003,1344600,75.300003
"2016-01-05",75.209999,75.580002,74.730003,75.029999,1027100,75.029999
"2016-01-06",74.010002,75.199997,73.75,74.639999,961900,74.639999
"2016-01-07",73.300003,73.809998,72.480003,73.040001,1274600,73.040001
"2016-01-08",73.389999,73.959999,72.779999,73.370003,1255600,73.370003
"2016-01-11",73.699997,74.349998,73.540001,74.040001,1081600,74.040001
"2016-01-12",74.300003,74.879997,73.709999,74.529999,873900,74.529999
"2016-01-13",74.519997,74.690002,71.870003,71.889999,1806300,71.889999
"2016-01-14",72.019997,73,71.510002,72.349998,1290700,72.349998
"2016-01-15",70.529999,72.300003,70.220001,72.059998,1674700,72.059998
"2016-01-19",72.709999,73.68,70.540001,71.529999,1399200,71.529999
"2016-01-20",70.760002,71.669998,69.099998,70.970001,1531200,70.970001
"2016-01-21",71.32,71.699997,69.989998,70.440002,1453300,70.440002
"2016-01-22",71.559998,71.940002,70.75,71.139999,1128200,71.139999
"2016-01-25",70.779999,71.349998,69.5,69.949997,1498400,69.949997
"2016-01-26",70.190002,71.309998,69.970001,71.199997,781700,71.199997
"2016-01-27",71.239998,72.25,70.589996,70.839996,770700,70.839996
"2016-01-28",71.150002,71.970001,70.690002,71.209999,1109200,71.209999
"2016-01-29",71.629997,73.669998,71.279999,73,1546300,73
"2016-02-01",72.330002,72.480003,71.660004,72.110001,1480700,72.110001
"2016-02-02",71.150002,71.230003,70.339996,70.720001,1433400,70.720001
"2016-02-03",70.839996,71.300003,68.080002,68.870003,1822300,68.870003
"2016-02-04",68.949997,69.620003,68.519997,68.93,1437900,68.93
"2016-02-05",68.690002,69.199997,67.650002,67.93,1021700,67.93
"2016-02-08",67.370003,67.739998,64.790001,65.949997,1419300,65.949997
"2016-02-09",65.68,68.349998,65.68,67.769997,1287600,67.769997
"2016-02-10",68.190002,68.940002,66.809998,66.889999,1437800,66.889999
"2016-02-11",65.540001,66.720001,65.019997,66.349998,1531200,66.349998
"2016-02-12",67.199997,68.269997,66.970001,68.059998,1154200,68.059998
"2016-02-16",68.410004,69.190002,67.970001,68.220001,1609100,68.220001
"2016-02-17",68.709999,69.809998,68.040001,68.389999,1788300,68.389999
"2016-02-18",68.639999,69.550003,68.260002,68.449997,986600,68.449997
"2016-02-19",68.269997,68.589996,67.599998,67.949997,1373900,67.949997
"2016-02-22",68.489998,69.360001,68.410004,68.480003,1978800,68.480003
"2016-02-23",68.07,68.650002,67.610001,68.010002,1773700,68.010002
"2016-02-24",67.099998,72.080002,67.07,71.650002,3287900,71.650002
"2016-02-25",72.360001,73.93,71.889999,73.900002,1744600,73.900002
"2016-02-26",74.120003,74.550003,73.639999,74.029999,989600,74.029999
"2016-02-29",74.019997,74.25,72.800003,72.839996,1005000,72.839996
"2016-03-01",73.230003,74.559998,72.699997,74.339996,927200,74.339996
"2016-03-02",74.459999,74.699997,73.629997,74.660004,1044900,74.660004
"2016-03-03",74.43,76.209999,74.169998,76.150002,1062600,76.150002
"2016-03-04",76.400002,77.230003,75.510002,76.699997,913500,76.699997
"2016-03-07",75.82,76.620003,75.720001,76.139999,614500,76.139999
"2016-03-08",75.860001,76.410004,75.010002,75.650002,1062200,75.650002
"2016-03-09",75.919998,76.82,75.57,76.480003,652600,76.480003
"2016-03-10",76.68,76.809998,74.900002,75.739998,486100,75.739998
"2016-03-11",76.650002,76.75,75.449997,76.300003,677300,76.300003
"2016-03-14",76.150002,76.790001,75.43,76.589996,625200,76.589996
"2016-03-15",76.150002,76.830002,75.029999,76.459999,744100,76.459999
"2016-03-16",75.980003,77.150002,75.239998,76.910004,506700,76.910004
"2016-03-17",76.93,77.349998,76.269997,77.190002,624400,77.190002
"2016-03-18",77.550003,78.029999,76.769997,77.480003,1013900,77.480003
"2016-03-21",77.400002,78.059998,76.860001,78,578900,78
"2016-03-22",77.470001,78.459999,77.160004,77.870003,825700,77.870003
"2016-03-23",77.620003,77.93,77.110001,77.519997,506600,77.519997
"2016-03-24",76.480003,78.220001,76.410004,77.610001,393100,77.610001
"2016-03-28",78.010002,78.360001,77.300003,77.760002,639000,77.760002
"2016-03-29",77.550003,78.790001,77.550003,78.629997,691200,78.629997
"2016-03-30",79.129997,79.169998,78.220001,78.730003,336100,78.730003
"2016-03-31",78.940002,80.440002,78.75,79.919998,972200,79.919998
"2016-04-01",79.639999,80.260002,79.290001,80.190002,690400,80.190002
"2016-04-04",80.010002,81.589996,79.190002,79.449997,692400,79.449997
"2016-04-05",78.800003,79.400002,78.480003,78.709999,479300,78.709999
"2016-04-06",78.550003,79.800003,78.419998,79.75,467000,79.75
"2016-04-07",79.110001,79.739998,78.169998,78.269997,765300,78.269997
"2016-04-08",78.050003,78.120003,77.290001,77.580002,644700,77.580002
"2016-04-11",77.970001,77.989998,76.760002,76.839996,537800,76.839996
"2016-04-12",76.980003,77.839996,76.93,77.739998,450000,77.739998
"2016-04-13",78,78.699997,77.760002,78.57,555000,78.57
"2016-04-14",78.550003,78.690002,77.440002,77.860001,653900,77.860001
"2016-04-15",77.860001,78.290001,77.43,78.150002,476400,78.150002
"2016-04-18",78.190002,78.900002,77.860001,78.610001,523300,78.610001
"2016-04-19",78.720001,79.010002,78.309998,78.599998,435800,78.599998
"2016-04-20",78.610001,78.959999,78.160004,78.589996,482000,78.589996
"2016-04-21",78.440002,78.769997,78.010002,78.059998,516100,78.059998
"2016-04-22",77.809998,78.610001,77.809998,78.190002,569800,78.190002
"2016-04-25",78.18,78.540001,77.93,78.43,389300,78.43
"2016-04-26",78.110001,78.940002,78.059998,78.790001,431700,78.790001
"2016-04-27",78.879997,79.160004,78.059998,78.699997,664400,78.699997
"2016-04-28",78.410004,79.43,78.339996,78.68,581600,78.68
"2016-04-29",78.07,78.459999,77.07,77.580002,799600,77.580002
"2016-05-02",77.68,78.169998,77.400002,77.779999,501600,77.779999
"2016-05-03",77.300003,77.440002,76.410004,77.129997,953400,77.129997
"2016-05-04",76.419998,78,76.290001,77.489998,1006700,77.489998
"2016-05-05",77.419998,77.949997,77.059998,77.230003,734000,77.230003
"2016-05-06",76.889999,78.010002,76.800003,77.849998,674000,77.849998
"2016-05-09",78.010002,78.440002,77.470001,77.769997,512300,77.769997
"2016-05-10",78.129997,78.839996,77.889999,78.760002,411600,78.760002
"2016-05-11",78.629997,78.690002,77.349998,77.459999,490700,77.459999
"2016-05-12",77.800003,78.099998,76.959999,77.809998,580100,77.809998
"2016-05-13",77.599998,77.779999,77.059998,77.080002,566700,77.080002
"2016-05-16",77.120003,78.230003,77.029999,77.900002,527500,77.900002
"2016-05-17",77.790001,77.970001,76.75,76.860001,477400,76.860001
"2016-05-18",76.629997,76.959999,75.889999,76.660004,854000,76.660004
"2016-05-19",75.959999,76.529999,75.760002,76.339996,649400,76.339996
"2016-05-20",76.489998,77.25,76.290001,77.040001,1123700,77.040001
"2016-05-23",77.059998,77.290001,76.839996,76.989998,371700,76.989998
"2016-05-24",77.260002,79.019997,77.059998,78.790001,473300,78.790001
"2016-05-25",78.900002,79.489998,78.620003,79.18,490500,79.18
"2016-05-26",79,79.279999,78.68,78.980003,324200,78.980003
"2016-05-27",78.93,79.57,78.93,79.260002,473200,79.260002
"2016-05-31",79.57,79.620003,78.910004,79.389999,952600,79.389999
"2016-06-01",79.059998,79.440002,78.940002,79.440002,538900,79.440002
"2016-06-02",79.099998,79.989998,79,79.980003,480900,79.980003
"2016-06-03",79.43,80.029999,79.029999,79.779999,1349300,79.779999
"2016-06-06",79.720001,80.160004,79.379997,79.900002,704000,79.900002
"2016-06-07",79.900002,80.110001,79.379997,79.620003,759100,79.620003
"2016-06-08",79.769997,80.129997,79.169998,79.919998,537300,79.919998
"2016-06-09",79.82,79.93,79.209999,79.580002,572300,79.580002
"2016-06-10",78.730003,79.769997,78.43,78.760002,534400,78.760002
"2016-06-13",78.809998,79.559998,78.809998,79.099998,779200,79.099998
"2016-06-14",78.879997,79.860001,78.540001,78.860001,499400,78.860001
"2016-06-15",78.919998,79.110001,78.309998,78.389999,522800,78.389999
"2016-06-16",78.260002,78.620003,77.559998,78.419998,673600,78.419998
"2016-06-17",78.459999,78.480003,77.529999,77.800003,967200,77.800003
"2016-06-20",78.510002,79.25,78.5,78.919998,475700,78.919998
"2016-06-21",78.949997,80.360001,78.779999,80.160004,958300,80.160004
"2016-06-22",79.940002,80.5,78.839996,78.959999,659800,78.959999
"2016-06-23",79.559998,80.160004,79.010002,80.129997,440700,80.129997
"2016-06-24",77.25,78.760002,76.349998,77.959999,1596000,77.959999
"2016-06-27",77.309998,78.010002,75.720001,76,729900,76
"2016-06-28",76.599998,77.910004,76.099998,77.470001,597100,77.470001
"2016-06-29",77.830002,79.18,77.019997,79.160004,571700,79.160004
"2016-06-30",79.370003,81.089996,78.019997,81.080002,862500,81.080002
"2016-07-01",81.080002,81.43,80.580002,80.93,462100,80.93
"2016-07-05",80.639999,81.720001,80.639999,81.620003,664700,81.620003
"2016-07-06",81.260002,81.760002,80.739998,81.660004,545000,81.660004
"2016-07-07",81.57,82.150002,81.269997,81.849998,465700,81.849998
"2016-07-08",82.209999,83.400002,82.07,83.400002,660000,83.400002
"2016-07-11",83.480003,84.440002,83.190002,84.019997,805300,84.019997
"2016-07-12",84.5,84.620003,83.849998,84.480003,569900,84.480003
"2016-07-13",85,85,84.349998,84.709999,492000,84.709999
"2016-07-14",85.199997,85.709999,84.959999,85.599998,614500,85.599998
"2016-07-15",86,86,85.080002,85.239998,476300,85.239998
"2016-07-18",85.470001,85.540001,84.980003,85.059998,474300,85.059998
"2016-07-19",84.75,85.559998,84.660004,85.540001,397000,85.540001
"2016-07-20",85.599998,85.879997,85.349998,85.400002,393500,85.400002
"2016-07-21",85.169998,85.339996,84.540001,84.800003,460100,84.800003
"2016-07-22",85.150002,85.889999,84.839996,85.75,524300,85.75
"2016-07-25",85.720001,85.75,85.160004,85.519997,308100,85.519997
